TF,Target,ECQ,Color
2G44730,SHR,0.08,red
2G44730,SHR,0.45,red
BZIP17,SHR,5.7,green
BZIP17,SHR,534.86,green
DF1,SHR,1.26,green
DF1,SHR,520.2,green
BBX21,SCR,1.69,green
BBX21,SCR,52.7,green
BZIP30,SCR,0.3,red
BZIP30,SCR,0.6,red
