AGID,mock 3h (F1),mock 3h (F1),CHX 3h (F1),CHX 3h (F1),MG132 3h (F1),MG132 3h (F1),mock 12h (F2),mock 12h (F2),PNO8 1uM3h (F1),PNO8 1uM3h (F1),PNO8 1uM12h (F2),PNO8 1uM12h (F2),mockBrz 3h (G),mockBrz 3h (G),PNO8 10uM3h (G),PNO8 10uM3h (G),Ibup 3h (F1),Ibup 3h (F1),B9 3h (F1),B9 3h (F1),Sal 3h (F1),Sal 3h (F1),mock 3h (F1),mock 3h (F1),mock 12h (F2),mock 12h (F2),Brz220 10uM3h (F1),Brz220 10uM3h (F1),Brz220 10uM12h (F2),Brz220 10uM12h (F2),Brz91 3h (F1),Brz91 3h (F1),Brz91 12h (F2),Brz91 12h (F2),mockBrz 3h (G),mockBrz 3h (G),Brz220 3uM3h (G),Brz220 3uM3h (G),mock 3h (F1),mock 3h (F1),AgNO3 3h (F1),AgNO3 3h (F1),AVG 3h (F1),AVG 3h (F1),mock 3h (F1),mock 3h (F1),mock 12h (F2),mock 12h (F2),PPI 3h (F1),PPI 3h (F1),PPI 12h (F2),PPI 12h (F2),Unic 3h (F1),Unic 3h (F1),Unic 12h (F2),Unic 12h (F2),Pac 3h (F1),Pac 3h (F1),Pac 12h (F2),Pac 12h (F2),PX 3h (F1),PX 3h (F1),PX 12h (F2),PX 12h (F2),Cont (C1),Cont (C1),Cont (C1),Zeatin20uM (C1),Zeatin20uM (C1),Zeatin20uM (C1),ARR22-ox (C2),ARR22-ox (C2),ARR22-ox (C2),ARR22-ox+Zeatin20uM (C2),ARR22-ox+Zeatin20uM (C2),ARR22-ox+Zeatin20uM (C2),mock 3h (F1),mock 3h (F1),246T 3h (F1),246T 3h (F1),PCIB 3h (F1),PCIB 3h (F1),TIBA 3h (F1),TIBA 3h (F1),NPA 3h (F1),NPA 3h (F1),mock 30m (A1),mock 30m (A1),IAA 30m (A1),IAA 30m (A1),Zeatin 30m (A1),Zeatin 30m (A1),GA 30m (A1),GA 30m (A1),ABA 30m (A1),ABA 30m (A1),MJ 30m (A1),MJ 30m (A1),ACC 30m (A1),ACC 30m (A1),BL 30m (A1),BL 30m (A1),mock 1h (A2),mock 1h (A2),IAA 1h (A2),IAA 1h (A2),Zeatin 1h (A2),Zeatin 1h (A2),GA 1h (A2),GA 1h (A2),ABA 1h (A2),ABA 1h (A2),MJ 1h (A2),MJ 1h (A2),ACC 1h (A2),ACC 1h (A2),BL 1h (A2),BL 1h (A2),mock 3h (A3),mock 3h (A3),IAA 3h (A3),IAA 3h (A3),Zeatin 3h (A3),Zeatin 3h (A3),GA 3h (A3),GA 3h (A3),ABA 3h (A3),ABA 3h (A3),MJ 3h (A3),MJ 3h (A3),ACC 3h (A3),ACC 3h (A3),BL 3h (A3),BL 3h (A3),ga1mock 30m (A4),ga1mock 30m (A4),ga1+GA 30m (A4),ga1+GA 30m (A4),ga1mock 1h (A5),ga1mock 1h (A5),ga1+GA 1h (A5),ga1+GA 1h (A5),ga1mock 3h (A6),ga1mock 3h (A6),ga1+GA 3h (A6),ga1+GA 3h (A6),det2mock 30m (A7),det2mock 30m (A7),det2+BL 30m (A7),det2+BL 30m (A7),det2mock 1h (A8),det2mock 1h (A8),det2+BL 1h (A8),det2+BL 1h (A8),det2mock 3h (A9),det2mock 3h (A9),det2+BL 3h (A9),det2+BL 3h (A9),mock 3h (B),mock 3h (B),CN 3h (B),CN 3h (B),6DCT 3h (B),6DCT 3h (B),CT 3h (B),CT 3h (B),6DTE 3h (B),6DTE 3h (B),TE 3h (B),TE 3h (B),6D3DT 3h (B),6D3DT 3h (B),3DT 3h (B),3DT 3h (B),6DTY 3h (B),6DTY 3h (B),TY 3h (B),TY 3h (B),6DCS 3h (B),6DCS 3h (B),CS 3h (B),CS 3h (B),BL 3h (B),BL 3h (B)
AT1G77450,310.7,287.4,2356.1,1650.7,262,306.8,219.8,210.5,1183.7,1439.3,195.9,424.7,258.6,341,2165.7,2268.2,1077.7,812.1,269.3,280.8,736.1,1040.6,310.7,287.4,219.8,210.5,258.2,319.6,205.1,279,274.8,296.1,214.6,393,258.6,341,232.1,197.5,310.7,287.4,1499.2,1133.7,345.7,535.7,310.7,287.4,219.8,210.5,405.2,395.3,243.5,250.4,413.9,305,226.5,302.6,358.5,326.3,274.1,268,588.8,394.6,295.5,326.9,82.9,122.6,235.8,133.1,154.7,147,210,324.7,795.1,312.4,279.2,265.3,310.7,287.4,2076,1071.1,892.4,754.5,2605.3,2101.5,366.9,386.3,212,217.8,300.9,213.4,313.2,245.7,166.1,192.2,1810,1043.4,285.7,311.4,177.4,171.1,250.4,208.9,236.5,242.2,292.6,292.6,242,236.3,195.2,242,3810.3,2463.6,640,583.4,190,191.5,151.8,154.9,267.9,226,195.2,263,173.8,145.2,188.2,108.3,5987.2,5476.8,481.9,546.8,131.4,180.1,175.2,153.5,2777.5,2174.7,2228.3,1843.2,1553.9,2176.2,1182.9,1812.9,1934.6,2358.5,1740.1,1643.4,559.1,728.7,593.9,772.8,614.5,632.4,800.3,634.9,621.7,646.5,828.7,649.3,303,350.3,153.2,322.4,371.9,280.6,229.4,317.5,383.6,306.2,209.1,292.4,330.1,276.3,335.7,351.8,287.9,411.3,240.4,337.1,273.1,316.2,342.1,163.7,292.3,301.1
AT4G00940,167.6,194.3,192.2,264.8,179.8,143.3,182,129.7,267.6,160.3,129,274.1,192.2,213.2,247.5,285.4,126.8,234.8,355.7,112.6,212.4,329.2,167.6,194.3,182,129.7,190.6,137.7,158.9,208.9,188.8,120,214.8,167.1,192.2,213.2,93.2,214,167.6,194.3,351.2,159.7,235,206.3,167.6,194.3,182,129.7,189.6,128.1,162.5,57.6,294.5,285.5,271.6,71.4,335.9,106.4,202.6,204.5,163.9,208.2,210.7,72.7,32.3,43.1,99.5,44.8,64.6,61.6,52.5,67.4,162.8,71.2,88.8,71,167.6,194.3,257.5,248,251.6,179.6,346.2,331.8,162,165.2,205.1,238.3,201.4,175.8,28,113.8,164.7,147.7,206.2,130.6,116.2,181.8,292.6,121.6,299.4,128.6,355.5,142.9,287.4,135.8,261.7,170.3,149.2,118,268.5,142.3,137.1,54.5,285.1,217,245,162.9,231.2,160.2,268.3,212,95.2,187.8,127.1,149.2,305.1,246.5,243.9,161.2,238.7,237.4,239,100.1,555.5,349.5,372.2,396.5,676.9,738.4,332,686.8,449.7,565.9,414.6,391.6,334,410.6,577.8,425,182.4,365.3,158.4,318.3,438,410.3,483.4,232.2,366.2,285,255.8,395.8,405.7,406.8,226.1,272.2,291.7,247.8,245.7,253.5,196.6,317.4,198.5,188.6,177.8,227,174.2,352.7,286.9,285.9,248.2,502.7,243,363.9
AT3G61850,621.8,539.9,2498.1,1936.8,552.5,515.5,380.6,540.9,586.7,555.5,529.2,496.8,663.5,603.2,677.4,441.3,589.1,415.8,612.3,485.7,538.6,559.5,621.8,539.9,380.6,540.9,750.2,346.2,397.2,561.1,663.1,565.1,548.9,588,663.5,603.2,581.6,702.9,621.8,539.9,1083.8,897.5,696.8,429.9,621.8,539.9,380.6,540.9,514.6,546.2,415.7,647.5,615.9,581,345.8,494.4,696.7,393.2,470.8,793.9,449.8,511.7,429.6,638.4,58.2,105.7,127.9,99.2,107.1,100.6,62,78,138.2,115.8,85.8,98.7,621.8,539.9,527,474.5,620.4,673.3,545.7,719.8,562.1,387.5,633.2,282.5,623,286.4,465.5,261.5,422,310.7,480.6,221.4,530.7,301.5,542.4,251.8,432.7,347.1,413.6,363.2,497.6,420.5,473,316.2,395.1,275.7,390.3,239.6,654.3,392.3,534.6,438.6,437.2,290.4,387.2,228.6,414.1,413.1,482.3,366.3,362.9,274,356.3,304.8,445.6,328.9,657.6,267.1,409,262,1563.4,1066.8,1019,867.7,582.8,1649.9,813.5,1437.2,804.5,951.9,806.4,1194.9,977.7,1197.5,918.6,1125.2,406,518.2,725.4,607.5,563.7,1118.7,637.6,846.7,596.3,733.3,610.4,627.6,928.6,762.8,702.7,627.2,461.4,524.8,662.9,613.9,709.4,881.3,724.4,664.5,471.3,450.6,497.7,745.2,541.4,604.9,406.4,758.2,462.4,923.8
AT1G01380,139.9,18.3,81.1,27.5,171.1,23.2,77.2,157.5,139,83.8,14.3,88.8,221.1,113.6,30.5,28,271.8,56.3,99.7,123.3,50,49.6,139.9,18.3,77.2,157.5,79.2,52.5,95.2,206.1,211.7,116.8,75.3,6,221.1,113.6,43.9,32.2,139.9,18.3,40.2,101.2,104.5,94.4,139.9,18.3,77.2,157.5,155.8,128.7,53.3,7.5,125.2,60.6,36.1,12.2,38.7,164.9,60.8,78.5,216.5,132.5,66.3,70.9,0.8,9.8,21.6,1.7,6.9,23.2,19.8,30.6,108.6,2.2,8.2,15.5,139.9,18.3,102.2,9,73,187.7,110.8,108.5,92.9,43.8,123.2,58.5,172.9,49.2,71.4,68.3,44.4,21.5,108.6,63,212.6,144.2,135.2,86.6,180.7,72.8,156,103.1,101.9,53.5,83.8,21.3,83.8,154.6,124,20.2,106,59.2,167.7,144.4,94.7,140.1,83.8,92.9,119,51.9,104.3,68.3,220.2,87.8,211.5,22.7,199.9,19.2,117.3,32.3,195.5,166.3,41.5,92.7,420.6,350.1,251.7,463.5,262.6,175.9,363.5,172.3,335.6,243.6,51.3,27.4,285,37.7,219,179.7,73.6,105.8,247.8,32.1,111,262.2,113.1,100.4,140.7,168.7,22.8,154.1,68.3,139.7,66.7,135.1,113.2,132.7,8.6,154.1,31.5,93.3,119.4,160.1,156.9,176.3,14.6,208.8,87.6,159.1,81,182.8
AT1G04240,1106.6,677.3,4045.3,3199.8,528.4,833.9,485.8,728.5,647.2,487.7,888.4,970.2,1504.9,830.9,1018.4,1012.3,835,344.8,852.4,510,514.7,405.4,1106.6,677.3,485.8,728.5,603.1,437.4,217.5,429,929.6,602.8,591,510.5,1504.9,830.9,976.8,914.8,1106.6,677.3,632.7,397.5,832.9,596.4,1106.6,677.3,485.8,728.5,409,446.2,340.7,483.6,505.6,460.1,403.9,571.5,493.3,481.3,307.8,781.7,854.5,1054.2,368.4,1292.7,287.8,350,907.8,550.4,466.6,549,72,95,220.1,110.8,162.5,126.3,1106.6,677.3,865.3,776.9,1106.9,1049.6,277.3,610.8,615.2,403.2,1015.9,570.6,2320.9,1203.7,1512.6,1125.1,1005.8,558.7,1612.2,871.5,831.8,704.8,980,799.5,1244.1,956.3,1026.7,640.7,2207,2319,1198,1250.7,927.6,796.1,1194.1,879.4,854.6,646.1,1023.3,813.7,1296.8,1085.3,1068.2,760.7,1266.3,1467.3,1476.7,1235.9,780.5,1109.3,923.2,481.6,1072.4,727.8,981.9,519.8,1074.9,1058.6,1515.9,1374.6,1555.9,1454.5,1280.8,2189.4,1746.7,2288.9,1584.4,1181.2,1507,1229,1537.2,1476.9,1162.2,1553.8,684.1,961.1,1476,1215.5,781.8,915.7,2725.4,2247.8,676.4,756,527.4,839.6,1234.2,860,1176.1,1809.9,819.1,1523.3,1377.4,1451.4,1499.3,1611.1,1244.6,1384.2,1212,1184.1,1677.8,1283.2,2014.5,1402.9,1547.3,1773.8,1178.7,1699.6
AT1G05710,600.4,601.5,1411.8,1128.1,622.7,454.8,554.1,616.7,1017.5,376.2,451.1,511,729,632.7,669.9,449.8,670.1,604.8,901.9,456.9,601.9,523.8,600.4,601.5,554.1,616.7,787.4,425.2,506.5,1002.1,623.4,444.3,408.3,597.1,729,632.7,446.4,597.8,600.4,601.5,1114.9,664.9,646,364.4,600.4,601.5,554.1,616.7,917.4,643.8,446.1,727.4,711.6,566.3,517.1,620.6,786.8,605.8,418.7,792.9,837.6,677.9,468.2,802,110.5,153.7,328.2,145.8,198.2,149.5,152.2,235.6,467.4,189.3,116,139.7,600.4,601.5,767.3,747.8,998.2,593.4,502,400.1,520.2,454.3,411.4,444,481.4,386.4,612.9,341.6,549.4,432.4,761.6,371.9,548,349.2,612.6,573.5,793,420.9,642,362.1,819.4,465.1,477.4,432.4,417.8,434.9,645.8,321.3,435.4,294.9,678.2,348.3,415.2,544.9,638.4,326.8,784.1,447.4,626.9,420.5,639.7,378.1,363,236.3,520.5,245.3,658.4,350.8,554.2,416.6,2166.4,1256.5,1633.3,1209.6,1326.8,3149,1028.5,1742.4,1834,1512.6,1170.9,873.4,1321.7,1175.7,1291,851.1,804.4,587.7,779.7,695.2,863.1,1058.6,1263.6,1265.3,705.2,839.9,640.7,1010.7,494.8,994.7,617.1,763.4,392,874.5,778.5,1012.4,688.2,1075.8,604.8,1046.7,507.8,852.8,662.9,710.2,741.1,1196.8,546.5,965,563.1,1202.9
AT1G09250,963.9,612,970.3,747.9,587.1,490.2,562.3,1009.7,854.3,666.2,752.3,1040.5,1145.4,943.7,939.6,885.1,707.6,575,798.7,583.8,754.1,709.7,963.9,612,562.3,1009.7,720.4,863.7,520.4,710.3,916.5,949.7,677.4,1005.1,1145.4,943.7,1055.9,1454.9,963.9,612,504,428.4,858.7,746.9,963.9,612,562.3,1009.7,772.8,629.5,567.1,753.3,568.1,853.3,589.8,1082.5,1119.3,963.9,366.4,878.4,598.5,763.4,427.7,916.3,231.6,292.9,619.1,354.8,354.4,337,100,172.1,289.5,238.6,245.3,175.6,963.9,612,687.4,757.5,1058.9,765.9,796.1,799.1,822.8,737.1,571,560.6,686.7,631.9,668.8,498.8,738.2,484.7,795.7,557.7,978.8,850.5,853.3,520.9,742.5,604.9,854,622.9,974.8,851.1,1077.2,763.2,886.7,518.7,784.2,536.1,932.8,702.6,977.2,577.1,792.7,585.6,993.3,682.5,927.7,690.9,666.6,653.1,912.4,795.5,929.3,522.5,821.4,725.8,1185.1,661.5,657,838.1,1495.5,1104.4,1271.7,893,1008.3,1743.9,999,1415.1,1268,1584.9,1345.3,1124.3,1743.2,1776.7,1637.4,1601,1426.3,1395.9,1165.6,1507.9,1786.9,1462.1,1706.9,1759.7,1373.6,1049.4,1427.2,1035.5,1211.7,837.4,1361.8,1504.9,1346.2,1368.2,1284,1403.2,1272.6,1306.9,1308.5,1421,1443.9,1542.9,1525.1,1454.7,1749.3,1295.6,1702.6,1528.5,1445.6,1639
AT1G14920,2953.2,2559.9,2346.7,1369.3,2639.7,1733.9,2116.7,3014.6,2710.2,2176.4,2083.8,3331,3201.8,2749.2,2255,1606.1,2523.6,2208.2,3382.9,2605.4,3035.9,2436.6,2953.2,2559.9,2116.7,3014.6,2732.6,1780.9,1684.2,2444.1,2377.4,2296.1,1820.4,2660.7,3201.8,2749.2,2987.5,2674.6,2953.2,2559.9,2179,2090,3130.6,2497.4,2953.2,2559.9,2116.7,3014.6,2177.4,2029.9,1705.2,2723.2,2836.8,2350,1985.5,2768,2817.2,2406.1,2385.5,3153.4,3389.3,2245.7,1903.1,2784.2,573,695.1,1655.2,638.1,612.6,656.3,294.8,411.1,1210.6,401.2,415.6,318.3,2953.2,2559.9,2347.3,2298.1,3023.7,2679.1,3134.9,2413.3,3230.3,2559.4,1927.1,1470.1,2437.6,1780.6,1967.1,1919,2261.8,1434,1601.5,1651.1,1924.6,1438.9,1717.2,1553.1,1724.2,1751.7,2200.4,1680.3,2634.5,2944.6,2377.1,1761,2453.7,2679,1969.9,1687.9,2254.2,1644.5,2095.3,1802.5,1914.4,1478.9,2214.8,1977.4,3017.8,1940.1,2253.4,1489.4,2687.3,2460.8,1116.4,1417.1,1662.8,1429.1,1837.1,1408.6,1574.1,1598.5,3557.3,3082.2,3668.9,3407.6,2230.9,3928.9,3877.1,6487.4,3329.2,3551.7,5780.2,4942.1,3617.3,3264.5,3894.8,4824.2,2818,3827.8,2873.7,3084.2,3714.8,3688.9,3579.5,4268.4,5006.5,3998.2,5055.6,4201.2,4237.3,4117.5,4309.7,3639.4,3360.7,3659.4,5190.9,3959.4,3861.5,4163.8,5001.3,4521.2,5220.3,3989.8,4461.3,4713.5,4848.3,5258.1,4809.6,4296.1,4127.4,4748.7
AT1G34670,316,346.7,429.3,482.5,381.8,316.4,321.6,317.1,337.8,247,440.6,395.5,331.2,355.1,381.6,216,306.9,245.1,423.4,200.1,498.3,354.1,316,346.7,321.6,317.1,322.8,276.7,311.3,391.8,445.2,199.3,250.5,388,331.2,355.1,282.7,262.7,316,346.7,314.9,340.9,396.2,334.1,316,346.7,321.6,317.1,345.5,297,315.2,323,327.1,265.7,183.6,238.4,333.5,239.2,292.6,337.5,330.3,358.8,367.9,399.6,45.5,61.7,107.6,83.1,62.6,64.6,39.6,28.7,74.6,51.4,37.6,22.1,316,346.7,379.2,305.9,340.2,310.3,435.3,283.6,403.5,245.8,351.1,218.2,336.1,171.5,398.8,194.7,282.8,198.2,397.2,157.4,344,178.5,439.4,281.2,462.4,168.3,403.6,253.8,401.1,301.7,473.3,195.2,473.8,137.6,329.5,220.1,289.1,123,357.9,174.5,633.7,160.9,462.6,175.5,977,378.2,598,217.7,370.1,164.8,1184,558.2,358,165.5,293.7,168.8,335.9,174.5,682.4,388.1,671.8,578.5,509.7,627.6,341.2,510.8,552,607.7,803.6,397.2,526.5,468.6,368.3,276.4,298.6,169.3,183.9,62.3,318.4,368.7,241.4,398.2,107.7,275.4,140.7,378.9,175.1,370.9,234.6,226.3,160.5,273.3,86,314.2,240.7,294.6,136.4,248.3,223.8,178.6,223.4,165.2,279.1,341.1,188.3,287.3,141.5,297.2
AT1G51600,616.4,647.5,431.9,591.4,677.4,599.6,560,665.7,675.7,491,475.6,628.9,526.1,654.8,582.4,611.3,690.3,580.2,575.3,602,635.6,530.4,616.4,647.5,560,665.7,681.4,523,366.9,681.3,602.8,454.5,462,700.4,526.1,654.8,488.2,664,616.4,647.5,620.6,681.9,594.1,524.7,616.4,647.5,560,665.7,687,497.4,341,543.9,560.2,517,481.2,523.6,644.8,510.4,483.9,523.7,795.1,489.5,478.6,699,109.7,119.5,228.7,154.1,161.1,160.8,120,167.3,221.8,171.8,165.3,160.3,616.4,647.5,533.6,511.4,547.6,537.1,914.3,623.4,862.7,548.6,567.2,452.8,505.8,499.7,666.5,487.1,673.9,530.4,608.8,413.7,615,439.2,633.1,484.7,757.6,507.4,493.1,436.7,559.6,510.2,735.1,469.8,583.4,423.8,621.8,508.8,493.3,454.2,689.3,505.5,619.1,514.3,461.4,446.2,482.2,591.2,578.4,439.6,542.7,394.8,625.8,350.8,443.3,385.3,668.8,446.8,480.3,456,1218.8,988.6,1118.3,1080.9,999.5,1605.1,898.2,1441.1,1192.3,1210.5,1147.7,1108.2,1279,1189.2,1119,1093.9,905.7,877.8,921.4,924,1144.2,1036.7,1088.2,922.2,765.3,857.3,821.3,806.1,889.4,839.2,977.1,788.8,860.4,798.3,804.5,961,759.2,664.6,734.1,911.1,821.5,969.7,742.5,816.1,902.5,1030.1,727.2,887.6,715.5,1085.3
AT1G58220,387.3,191,688.2,667.2,211,336.7,265.3,430.7,475.8,299.3,286.8,103.6,481,404.6,116,372.8,394,290,435.1,238.7,300.9,230.9,387.3,191,265.3,430.7,503.1,325.4,395.6,309.8,149.5,403.4,272.2,436.7,481,404.6,455.1,225.5,387.3,191,488,211.4,164.2,130.3,387.3,191,265.3,430.7,421.8,338,367.7,271.7,386.2,316,173,401.8,335.5,226.5,194.2,326.2,529.5,270.8,285.6,324.2,51.3,66,163.4,67,90,72.6,29.6,60,86,51.8,62.6,49.2,387.3,191,353.7,525.3,445.8,193.1,193.3,224.9,486.3,308.2,322.5,329.9,374,306.1,369,361.9,451.2,349.2,131.8,184.9,183,323.7,229.8,195.7,281.7,285,372.1,354.8,536.7,257.3,459.5,295.4,381.3,429.3,464.9,219.3,415.2,183.2,316,256.1,412.7,286.3,445.7,224.8,442.9,93.5,297.9,89.2,385.3,41.2,396.7,165.4,158.7,181.3,315.7,321.8,89.6,392,1296.3,709.2,984,1046.5,643,1276,816.5,1336.5,587.2,753.6,1137,1089.8,885.7,196,886.7,255.3,837.3,405.2,513.7,572,220.3,994.4,865.7,676.2,745.6,477.3,462.6,700.1,576.7,661.7,371.4,527.3,500.8,537.4,649.5,539.2,548.5,542.3,673.4,565.5,554.9,606.8,511.3,506.1,536.8,275.7,594.2,282.5,550.6,595.1
AT1G80840,408.7,311.6,31028.4,30810.1,480.6,350.5,230.5,425.5,551.5,854.7,377.1,498.4,377.3,407.8,4204.1,4070,487.7,395.8,458.9,361.9,447.3,1665.3,408.7,311.6,230.5,425.5,463.3,578.1,448.5,566.1,672.5,423.9,605.4,613.9,377.3,407.8,569.9,461.3,408.7,311.6,3569.1,2402,367.1,336.7,408.7,311.6,230.5,425.5,305.9,299.5,362.4,376.2,421.2,271,715,740.8,581.2,531.7,355.7,559.6,433.1,476.6,365.2,582,335.2,494.8,917.1,186.1,226.2,211.5,118.9,157.5,321.5,1099.7,985.9,860,408.7,311.6,668.5,706.2,675.5,540.5,3130.4,3937.2,386.7,495.9,293.9,380,940.4,813,294.8,166.8,594,367.1,860.9,602.5,2413.8,1221.8,646.7,419.3,334.2,304.8,341,199.4,698.3,458.9,399.7,282.8,473.5,234.3,418.9,368.7,3150.8,1538.9,646.9,472,346.2,342,314.3,358.7,927.8,739.2,526,336.9,681.9,469.5,681.4,277.6,1663.8,1210.7,702.8,302.7,367,184.6,995.9,770,1220,706.4,463.8,898.2,655.9,1329.2,794.7,637.3,898.2,745.1,1380.1,1227.6,3232.2,1868.8,772.6,1145,358.7,837.2,1299.2,2026.7,899.9,909.2,598.9,711.4,874,1009.5,496.2,583.3,781.7,504.5,668.5,664.2,480,952.2,631.5,846.7,328.9,422,434.1,595.7,419.8,596.7,433.7,510.8,264,439.1,381.5,514.6
AT3G15500,17.4,143,230.4,324.8,251.8,64.5,171.7,193.8,171.3,205.8,108.5,159.1,209.4,116.1,297.1,365,203.8,168.8,176.8,57.1,115.9,226.8,17.4,143,171.7,193.8,89.5,95.3,167.3,143.3,62.9,180.1,187.3,208.3,209.4,116.1,250.4,277.5,17.4,143,518.9,385,260.9,114.4,17.4,143,171.7,193.8,166.7,51.1,105.8,93.7,174.7,86.3,124.7,134.1,205.8,113.3,55.2,122.7,367.7,250.8,150.6,157.4,146.1,170.9,390.9,74.8,68.5,100.3,161.2,174,236.8,497.5,506.9,430.1,17.4,143,176.6,149.5,235.7,59.8,212,252.3,122.9,181.1,125.9,100.9,243.7,102,174.9,133.4,115.1,145.7,366.6,246,1027.6,875.3,288.2,152.5,228.7,49.3,191.6,153.2,29.6,146.5,200.7,27.1,260.3,107.6,443.3,351.8,835.4,789.5,33,173.5,132.6,161.1,253.7,153.1,242.7,213,119.6,92.8,113.8,159.2,437,383.1,303.5,614.4,260.3,122.7,140.6,160.8,423.1,239.1,289.8,383,417.5,534.4,240.2,558.5,455.1,248.4,253.4,242.1,384.1,508.5,725.6,618,290.7,572.6,95.7,245.5,592.5,637.9,362.6,166.4,304.2,301.4,177.3,329,319.3,298,288.9,152.8,134.1,126.6,289.9,286.3,98.5,210.3,205.1,91,22.3,79.8,270,290.9,367.9,286.2,142.7,163.5,180.4,315.9
AT3G23690,1709.1,1232.4,1054.5,1013.2,1809,1327,1438.4,1729.3,1415,1090.8,1348.1,2015.9,2191.1,1847.3,1582.7,1692.5,1763,1240.6,1857.4,1552.2,1790.3,1388.1,1709.1,1232.4,1438.4,1729.3,1778.8,1381.5,1171.8,1961.4,1826.7,1355.5,1280.4,1644.6,2191.1,1847.3,1801.5,1809.6,1709.1,1232.4,1342.8,1239.7,2017.3,1537.6,1709.1,1232.4,1438.4,1729.3,1690.6,1183.8,1582.6,1557.7,1826.5,1511.2,1395.1,1799.6,1845,1173.2,1633.7,1392.9,2092.6,1536.6,1618.3,1604.7,214.4,316.8,501.5,239.6,241.3,301.5,328.5,458,602,361.9,316.7,282.3,1709.1,1232.4,1663.2,1463.8,1846,1553.1,1550.3,1238.2,1712,1292.9,1123.9,1252,1320.5,1047,1141.2,1182.6,1331.4,1418.7,1336.6,1301.3,1180.3,1129.8,1406.3,1330.3,1586.2,1179.9,1504.9,1383.1,1447,971,1352,985.1,1500.9,1374.2,1570.4,1481.1,1291.2,933.6,1316.8,1296.1,1610.8,1021.9,1619.3,863.3,1601,1142.5,1055.9,1072,1566.1,1399.3,1497.3,1345.4,1515.5,1175.4,1974.5,1396.8,1524.8,1209.2,3000.4,2539.9,2775.7,2549.7,1996,3793.8,2601.1,3732.2,2617,2968.8,3347.4,2957.5,2973.9,3058.6,3431,2890,2048.9,2228.9,2003,2019.3,3022.2,2275.8,3296.7,2943.4,1975,2529.6,2054.3,2393.9,2161,2583.5,2332.2,2382.5,2461.3,2194.2,2218.1,2714.5,2301.7,2549.1,2364.3,2789.6,2387.8,2464.5,2513.5,3114.9,2560.3,2675.8,2573,3152.3,2879.8,2761.2
AT3G54220,2798.7,2631.1,2002.5,1773,3663.1,3074.6,2021.5,3116.5,3230.7,2501.2,2229.3,3197.1,2708.4,2496.1,2167.2,1722.5,2612.5,3151,3187.9,3410.4,3152.7,3314.4,2798.7,2631.1,2021.5,3116.5,3392.7,2591.9,2018,2998.2,2511.3,2853,1774.7,3090.2,2708.4,2496.1,2836.4,1929.6,2798.7,2631.1,2218.6,2828.6,2977.5,2911,2798.7,2631.1,2021.5,3116.5,2955.4,3202.8,1999.3,3825.8,3175.6,2694.7,2330,3716,3378.7,2655.9,2675.7,3026.8,3889,2778.7,2392.2,3155.6,161.4,225,434.6,203.8,198.7,260.5,173.4,232.1,550,285.6,223,204,2798.7,2631.1,3117,2803.8,3291.3,2653.2,2931.4,2667.9,4088.1,2444.2,2261.5,1605.4,1948.5,1455.6,1741.7,1376.2,2000,1259.9,1962.9,1322.6,1719.6,1285.7,1878.4,1181.9,1898.1,1378.4,1813.3,1302.6,1960.4,1484.6,1737,1227,1823.1,1216.7,1538.2,1132.1,1745.2,1237.1,1877.4,1323,1920.9,1262.7,2037.4,1387.6,1899.6,1362.8,1333,1088.2,1638.8,1185.5,850.9,810.7,1435.1,1206.2,1712.2,1266.9,1682.2,1240.3,9249.1,6255.6,7399.2,5458.8,4738.6,7215.8,4458.4,6377.3,6683.4,6331.6,5929.6,5650.7,5121.2,4879.4,5196.8,5626.8,4088.5,4661.3,4511.4,4640,4947.7,4480.3,4075,4748,5484.7,5374.2,5038.2,5566.2,4837.4,5713.3,5115.2,5156.8,4830.9,5669.4,5679.9,4749,5709.4,4733.4,5367.6,5733,5471.1,5910.7,4007,5496.9,4533.9,6535.2,3929.9,4996.5,4615.6,4965.5
